,City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Mahébourg,-20.41,57.7,69.8,64,75,18.34,MU,1594418872
1,Lompoc,34.64,-120.46,75.99,68,0,14.99,US,1594418900
2,Forsytheganj,52.63,29.73,64.67,95,80,10.42,BY,1594418900
3,Bikin,46.82,134.26,62.46,84,1,3.49,RU,1594418900
4,Vostok,46.49,135.88,59.86,85,0,2.51,RU,1594418900
5,Ushuaia,-54.8,-68.3,35.6,69,40,5.82,AR,1594418782
6,Hilo,19.73,-155.09,82.4,61,90,6.93,US,1594418900
7,Yulara,-25.24,130.99,44.6,65,61,5.82,AU,1594418900
8,Rikitea,-23.12,-134.97,67.53,66,73,18.41,PF,1594418780
9,Sabla,12.75,4.71,83.84,62,100,17.69,NG,1594418900
10,Bereda,43.27,-7.54,60.01,92,28,13.0,ES,1594418900
11,Punta Arenas,-53.15,-70.92,33.01,89,75,11.41,CL,1594418851
12,Bilma,18.69,12.92,94.68,17,32,9.08,NE,1594418901
13,Isangel,-19.55,169.27,71.6,83,20,8.05,VU,1594418879
14,Albany,42.6,-73.97,78.01,86,100,6.15,US,1594418793
15,Bredasdorp,-34.53,20.04,50.0,81,42,10.29,ZA,1594418901
16,Broken Hill,-31.95,141.43,42.8,87,11,4.7,AU,1594418901
17,Balkanabat,39.51,54.37,84.76,38,44,3.06,TM,1594418901
18,Kloulklubed,7.04,134.26,75.2,94,90,3.36,PW,1594418901
19,Chokwé,-24.53,32.98,72.28,48,2,11.18,MZ,1594418901
20,Hermanus,-34.42,19.23,48.0,92,90,4.0,ZA,1594418901
21,Alta Floresta,-9.88,-56.09,78.76,41,7,3.76,BR,1594418901
22,Oktyabr'skiy,54.48,53.47,66.79,95,93,5.21,RU,1594418901
23,Waipawa,-41.41,175.52,48.99,81,0,13.87,NZ,1594418902
24,Bethel,41.37,-73.41,73.99,94,90,12.75,US,1594418603
25,Atuona,-9.8,-139.03,79.9,78,98,18.86,PF,1594418902
26,Brae,60.4,-1.35,50.0,81,97,4.7,GB,1594418902
27,Jamestown,42.1,-79.24,87.8,43,20,9.17,US,1594418870
28,Bariloche,-41.15,-71.31,32.0,95,75,13.87,AR,1594418764
29,Petropavlovsk-Kamchatskiy,53.05,158.65,59.0,100,40,4.47,RU,1594418902
30,Airai,-8.93,125.41,57.09,100,46,3.85,TL,1594418902
